ano,id_escola,ideb,ensino,rede,nota_saeb_matematica,nota_saeb_lingua_portuguesa
2017,35002586,,fundamental,estadual,,
2017,35002586,,medio,estadual,,
2021,35002653,,medio,estadual,,
2005,35002665,,fundamental,estadual,,
2021,35002707,,medio,estadual,,
2017,35002707,,fundamental,estadual,,
2017,35002719,,medio,estadual,,
2005,35002719,,fundamental,estadual,,
2021,35002719,,medio,estadual,,
2005,35002732,,fundamental,estadual,,
2021,35002732,,medio,estadual,,
2017,35002744,,medio,estadual,,
2021,35002768,,fundamental,estadual,,
2005,35002800,,fundamental,estadual,,
2021,35002800,,medio,estadual,,
2019,35002800,,fundamental,estadual,,
2021,35002800,,fundamental,estadual,,
2005,35002835,,fundamental,estadual,,
2017,35002859,,fundamental,estadual,,
2005,35002859,,fundamental,estadual,,
2005,35002860,,fundamental,estadual,,
2005,35002884,,fundamental,estadual,,
2021,35002902,,medio,estadual,,
2021,35002914,,medio,estadual,,
2005,35002926,,fundamental,estadual,,
2015,35002951,,fundamental,estadual,,
2015,35002951,,fundamental,estadual,,
2015,35002963,,fundamental,estadual,,
2021,35002963,,fundamental,estadual,,
2019,35002963,,fundamental,estadual,,
2017,35002975,,medio,estadual,,
2021,35002975,,fundamental,estadual,,
2023,35002975,,fundamental,estadual,,
2021,35003001,,medio,estadual,,
2009,35003001,,fundamental,estadual,,
2023,35003013,,medio,estadual,,
2023,35003050,,fundamental,estadual,,
2015,35003050,,fundamental,estadual,,
2011,35003050,,fundamental,estadual,,
2023,35003062,,medio,estadual,,
2021,35003086,,medio,estadual,,
2005,35003098,,fundamental,estadual,,
2005,35003104,,fundamental,estadual,,
2005,35003116,,fundamental,estadual,,
2017,35003128,,fundamental,estadual,,
2017,35003128,,medio,estadual,,
2019,35003128,,fundamental,estadual,,
2023,35003128,,fundamental,estadual,,
2005,35003165,,fundamental,estadual,,
2011,35003177,,fundamental,estadual,,
2017,35003177,,fundamental,estadual,,
2023,35003220,,fundamental,estadual,,
2021,35003244,,fundamental,estadual,,
2019,35003256,,medio,estadual,,
2017,35003256,,medio,estadual,,
2021,35003268,,fundamental,estadual,,
2023,35003268,,fundamental,estadual,,
2019,35003268,,fundamental,estadual,,
2005,35003281,,fundamental,estadual,,
2005,35003311,,fundamental,estadual,,
2007,35003323,,fundamental,estadual,,
2005,35003335,,fundamental,estadual,,
2023,35003372,,medio,estadual,,
2021,35003384,,fundamental,estadual,,
2005,35003414,,fundamental,estadual,,
2017,35003451,,medio,estadual,,
2019,35003463,,fundamental,estadual,,
2021,35003463,,fundamental,estadual,,
2005,35003463,,fundamental,estadual,,
2017,35003463,,fundamental,estadual,,
2021,35003499,,medio,estadual,,
2005,35003505,,fundamental,estadual,,
2023,35003530,,medio,estadual,,
2019,35003554,,fundamental,estadual,,
2023,35003554,,fundamental,estadual,,
2017,35003554,,fundamental,estadual,,
2019,35003566,,medio,estadual,,
2021,35003682,,medio,estadual,,
2017,35003682,,medio,estadual,,
2023,35003682,,fundamental,estadual,,
2021,35003712,,fundamental,estadual,,
2005,35003712,,fundamental,estadual,,
2007,35003712,,fundamental,estadual,,
2015,35003759,,fundamental,estadual,,
2005,35003759,,fundamental,estadual,,
2019,35003759,,fundamental,estadual,,
2019,35003759,,medio,estadual,,
2023,35003797,,fundamental,estadual,,
2005,35003803,,fundamental,estadual,,
2005,35003839,,fundamental,estadual,,
2005,35003840,,fundamental,estadual,,
2005,35003852,,fundamental,estadual,,
2005,35003864,,fundamental,estadual,,
2005,35003897,,fundamental,estadual,,
2021,35003924,,medio,estadual,,
2005,35003943,,fundamental,estadual,,
2009,35003955,,fundamental,estadual,,
2021,35003992,,fundamental,estadual,,
2019,35003992,,fundamental,estadual,,
2017,35003992,,fundamental,estadual,,
2023,35004005,,fundamental,estadual,,
2005,35004005,,fundamental,estadual,,
2017,35004005,,fundamental,estadual,,
2005,35004029,,fundamental,estadual,,
2005,35004030,,fundamental,estadual,,
2021,35004030,,medio,estadual,,
2005,35004042,,fundamental,estadual,,
2021,35004085,,fundamental,estadual,,
2005,35004133,,fundamental,estadual,,
2005,35004133,,fundamental,estadual,,
2015,35004169,,fundamental,estadual,,
2017,35004170,,medio,estadual,,
2005,35004212,,fundamental,estadual,,
2019,35004212,,fundamental,estadual,,
2019,35004224,,medio,estadual,,
2005,35004248,,fundamental,estadual,,
2005,35004273,,fundamental,estadual,,
2005,35004303,,fundamental,estadual,,
2023,35004339,,fundamental,estadual,,
2019,35004340,,fundamental,estadual,,
2019,35004388,,medio,estadual,,
2005,35004388,,fundamental,estadual,,
2005,35004418,,fundamental,estadual,,
2005,35004424,,fundamental,estadual,,
2021,35004431,,medio,estadual,,
2017,35004431,,medio,estadual,,
2023,35004492,,fundamental,estadual,,
2005,35004561,,fundamental,estadual,,
2019,35004583,,fundamental,estadual,,
2005,35004595,,fundamental,estadual,,
2021,35004595,,medio,estadual,,
2023,35004613,,medio,estadual,,
2017,35004686,,fundamental,estadual,,
2015,35004686,,fundamental,estadual,,
2021,35004686,,fundamental,estadual,,
2021,35004686,,medio,estadual,,
2017,35004686,,medio,estadual,,
2017,35004741,,fundamental,estadual,,
2005,35004741,,fundamental,estadual,,
2021,35004741,,medio,estadual,,
2021,35004777,,medio,estadual,,
2005,35004789,,fundamental,estadual,,
2019,35004790,,medio,estadual,,
2005,35004856,,fundamental,estadual,,
2005,35004868,,fundamental,estadual,,
2017,35004868,,medio,estadual,,
2005,35004881,,fundamental,estadual,,
2005,35004893,,fundamental,estadual,,
2005,35004900,,fundamental,estadual,,
2017,35004911,,medio,estadual,,
2005,35004923,,fundamental,estadual,,
2021,35004923,,medio,estadual,,
2015,35004947,,fundamental,estadual,,
2011,35004959,,fundamental,estadual,,
2017,35004959,,fundamental,estadual,,
2005,35004996,,fundamental,estadual,,
2017,35004996,,medio,estadual,,
2023,35004996,,medio,estadual,,
2017,35005034,,medio,estadual,,
2017,35005034,,fundamental,estadual,,
2005,35005061,,fundamental,estadual,,
2021,35005061,,fundamental,estadual,,
2019,35005071,,fundamental,estadual,,
2021,35005083,,medio,estadual,,
2017,35005083,,medio,estadual,,
2019,35005083,,medio,estadual,,
2013,35005095,,fundamental,estadual,,
2017,35005095,,fundamental,estadual,,
2021,35005095,,fundamental,estadual,,
2021,35005137,,fundamental,estadual,,
2017,35005186,,fundamental,estadual,,
2017,35005198,,fundamental,estadual,,
2017,35005204,,fundamental,estadual,,
2015,35005289,,fundamental,estadual,,
2021,35005289,,fundamental,estadual,,
2005,35005289,,fundamental,estadual,,
2017,35005290,,medio,estadual,,
2021,35005290,,medio,estadual,,
2017,35005307,,medio,estadual,,
2019,35005320,,medio,estadual,,
2021,35005320,,medio,estadual,,
2005,35005368,,fundamental,estadual,,
2007,35005373,,fundamental,estadual,,
2021,35005373,,fundamental,estadual,,
2019,35005373,,fundamental,estadual,,
2017,35005381,,medio,estadual,,
2005,35005400,,fundamental,estadual,,
2017,35005411,,fundamental,estadual,,
2009,35005411,,fundamental,estadual,,
2021,35005411,,medio,estadual,,
2007,35005411,,fundamental,estadual,,
2017,35005423,,fundamental,estadual,,
2017,35005435,,fundamental,estadual,,
2005,35005435,,fundamental,estadual,,
2013,35005459,,fundamental,estadual,,
2017,35005459,,fundamental,estadual,,
2021,35005472,,fundamental,estadual,,
2009,35005484,,fundamental,estadual,,
2021,35007459,,fundamental,municipal,,
2021,35007460,,fundamental,municipal,,
2019,35011807,,medio,federal,,
2005,35035592,,fundamental,estadual,,
2017,35035592,,medio,estadual,,
2005,35035609,,fundamental,estadual,,
2017,35035610,,fundamental,estadual,,
2013,35035610,,fundamental,estadual,,
2021,35035610,,fundamental,estadual,,
2005,35035610,,fundamental,estadual,,
2023,35035610,,fundamental,estadual,,
2005,35035661,,fundamental,estadual,,
2021,35035661,,medio,estadual,,
2005,35036262,,fundamental,estadual,,
2005,35036274,,fundamental,estadual,,
2005,35036298,,fundamental,estadual,,
2017,35036298,,fundamental,estadual,,
2021,35036456,,fundamental,estadual,,
2023,35036456,,fundamental,estadual,,
2005,35036705,,fundamental,estadual,,
2017,35036717,,fundamental,estadual,,
2005,35036729,,fundamental,estadual,,
2021,35036729,,fundamental,estadual,,
2017,35036729,,medio,estadual,,
2013,35036729,,fundamental,estadual,,
2005,35036730,,fundamental,estadual,,
2017,35036730,,medio,estadual,,
2005,35036742,,fundamental,estadual,,
2021,35036742,,medio,estadual,,
2015,35036766,,fundamental,estadual,,
2005,35036766,,fundamental,estadual,,
