id_escola,ano,inse
35922948,2015,6.4628591125177
35922948,2013,6.4628591125177
35910818,2015,6.4357667853482
35910818,2013,6.4357667853482
35045949,2019,6.41
35922948,2019,6.41
35910818,2021,6.39
35045949,2015,6.37183785459038
35045949,2013,6.37183785459038
35046000,2015,6.32891623229864
35046000,2013,6.32891623229864
35046024,2013,6.27013734894694
35046024,2015,6.27013734894694
35004352,2013,6.21830542896467
35004352,2015,6.21830542896467
35448060,2015,6.19449574543377
35448060,2013,6.19449574543377
35304815,2015,6.18617516056865
35304815,2013,6.18617516056865
35045937,2013,6.17160316324413
35045937,2015,6.17160316324413
35046000,2021,6.15
35049669,2015,6.13529141949917
35049669,2013,6.13529141949917
35290695,2021,6.13
35045937,2021,6.12
35045950,2019,6.12
35910818,2019,6.12
35046000,2019,6.12
35002082,2013,6.11946409258205
35002082,2015,6.11946409258205
35922936,2015,6.11405033721171
35922936,2013,6.11405033721171
35045950,2013,6.11204901888211
35045950,2015,6.11204901888211
35922936,2019,6.11
35033662,2021,6.11
35045986,2015,6.10501677499403
35045986,2013,6.10501677499403
35045986,2021,6.1
35002185,2015,6.0965309996336305
35002185,2013,6.0965309996336305
35046024,2021,6.09
35000486,2013,6.0880150419821195
35000486,2015,6.0880150419821195
35049669,2019,6.08
35003608,2013,6.0792300498771
35003608,2015,6.0792300498771
35018512,2015,6.0617466944510294
35018512,2013,6.0617466944510294
35049669,2021,6.06
35022020,2015,6.05521241779239
35022020,2013,6.05521241779239
35022020,2021,6.04
35012919,2013,6.03710948327352
35012919,2015,6.03710948327352
35022779,2013,6.03631283923357
35022779,2015,6.03631283923357
35025495,2013,6.031770027532
35025495,2015,6.031770027532
35918283,2013,6.03034556397676
35918283,2015,6.03034556397676
35009325,2015,6.02483296672595
35009325,2013,6.02483296672595
35002173,2015,6.02398077084699
35002173,2013,6.02398077084699
35020886,2015,6.02106142216997
35020886,2013,6.02106142216997
35015659,2021,6.02
35018363,2015,6.01758092055154
35018363,2013,6.01758092055154
35009477,2015,6.01210892178293
35009477,2013,6.01210892178293
35013869,2021,6.01
35006609,2021,6.01
35907424,2021,6.01
35042648,2019,6.01
35914885,2021,6.01
35013493,2015,6.00903407943495
35013493,2013,6.00903407943495
35003694,2015,6.00552964201005
35003694,2013,6.00552964201005
35006609,2015,5.99731051660996
35006609,2013,5.99731051660996
35033662,2013,5.99503989758293
35033662,2015,5.99503989758293
35018843,2021,5.99
35018363,2021,5.99
35046012,2013,5.98710009432454
35046012,2015,5.98710009432454
35428929,2013,5.98645381710947
35428929,2015,5.98645381710947
35045962,2015,5.98115887989914
35045962,2013,5.98115887989914
35045937,2019,5.98
35018363,2019,5.98
35015659,2019,5.98
35027224,2021,5.98
35045986,2019,5.98
35025240,2021,5.98
35029002,2015,5.97508966943578
35029002,2013,5.97508966943578
35024193,2013,5.97238420068157
35024193,2015,5.97238420068157
35008285,2013,5.9718674306792305
35008285,2015,5.9718674306792305
35018843,2019,5.97
35006609,2019,5.97
35024077,2021,5.97
35023176,2021,5.97
35922936,2021,5.97
35046024,2019,5.97
35021556,2021,5.97
35290695,2019,5.97
35018144,2013,5.96979821801879
35018144,2015,5.96979821801879
35021131,2013,5.96546045399843
35021131,2015,5.96546045399843
35022779,2021,5.96
35033662,2019,5.96
35009313,2021,5.96
35003608,2019,5.96
35008023,2013,5.9529106958338094
35008023,2015,5.9529106958338094
35496479,2021,5.95
35019720,2021,5.95
35008357,2015,5.94995831363714
35008357,2013,5.94995831363714
35013869,2013,5.94937378402512
35013869,2015,5.94937378402512
35017000,2013,5.94782320089839
35017000,2015,5.94782320089839
35018235,2015,5.94676485246611
35018235,2013,5.94676485246611
35405206,2013,5.94244930322757
35405206,2015,5.94244930322757
35914885,2015,5.94121244260308
35914885,2013,5.94121244260308
35018512,2019,5.94
35003608,2021,5.94
35024521,2015,5.93674149215492
35024521,2013,5.93674149215492
35020898,2021,5.93
35920538,2021,5.93
35016408,2021,5.93
35578587,2021,5.93
35022810,2021,5.93
35428930,2021,5.93
35033736,2013,5.92624059430446
35033736,2015,5.92624059430446
35000954,2015,5.924156163417
35000954,2013,5.924156163417
35022073,2013,5.92080913500345
35022073,2015,5.92080913500345
35045962,2019,5.92
35900990,2021,5.92
35020539,2021,5.92
35016317,2019,5.92
35013869,2019,5.92
35008285,2021,5.92
35432726,2021,5.92
35457450,2021,5.92
35299364,2013,5.91763153073696
35299364,2015,5.91763153073696
35018120,2013,5.91530141189938
35018120,2015,5.91530141189938
35019689,2015,5.91439874763618
35019689,2013,5.91439874763618
35016135,2015,5.91357475877913
35016135,2013,5.91357475877913
35015659,2015,5.91127834962033
35015659,2013,5.91127834962033
35043679,2015,5.91017561718648
35043679,2013,5.91017561718648
35012658,2019,5.91
35031082,2021,5.91
35045962,2021,5.91
35018659,2021,5.91
35022073,2021,5.91
35019847,2015,5.90647987542776
35019847,2013,5.90647987542776
35020825,2015,5.90502347347228
35020825,2013,5.90502347347228
35037597,2015,5.9025304801944305
35037597,2013,5.9025304801944305
35019847,2021,5.9
35440747,2021,5.9
35046012,2021,5.9
35015192,2019,5.9
35001636,2015,5.89965113850487
35001636,2013,5.89965113850487
35446695,2013,5.89824002853947
35446695,2015,5.89824002853947
35908745,2013,5.89771448563548
35908745,2015,5.89771448563548
35439216,2013,5.89550967612998
35439216,2015,5.89550967612998
35018338,2015,5.89436353329258
35018338,2013,5.89436353329258
35022986,2015,5.89414619343182
35022986,2013,5.89414619343182
35446105,2015,5.89235830240545
35446105,2013,5.89235830240545
35009325,2021,5.89
35001636,2021,5.89
35004352,2021,5.89
35012658,2021,5.89
35914174,2021,5.89
35018659,2019,5.89
35002185,2021,5.89
35022068,2021,5.89
35029865,2021,5.89
35022962,2013,5.8844974612339893
35022962,2015,5.8844974612339893
35025461,2015,5.88350944483431
35025461,2013,5.88350944483431
35042648,2013,5.88015198881745
35042648,2015,5.88015198881745
35042894,2021,5.88
35560112,2019,5.88
35016184,2019,5.88
35025495,2019,5.88
35446816,2021,5.88
35042638,2019,5.88
35020539,2019,5.88
35031860,2021,5.88
35477850,2021,5.88
35016354,2019,5.88
35005630,2021,5.88
35020205,2013,5.87888083103789
35020205,2015,5.87888083103789
35042638,2013,5.87825520057822
35042638,2015,5.87825520057822
35290749,2015,5.87791523521596
35290749,2013,5.87791523521596
35025069,2015,5.87627852766549
35025069,2013,5.87627852766549
35405243,2013,5.8757308817419
35405243,2015,5.8757308817419
35016238,2015,5.87472070228357
35016238,2013,5.87472070228357
35001594,2013,5.87077788470446
35001594,2015,5.87077788470446
35024569,2019,5.87
35016238,2021,5.87
35016317,2021,5.87
35018512,2021,5.87
35006476,2021,5.87
35017528,2019,5.87
35000486,2019,5.87
35405206,2021,5.87
35009325,2019,5.87
35002082,2019,5.87
35018144,2021,5.87
35023176,2015,5.8699197716815394
35023176,2013,5.8699197716815394
35024454,2013,5.86961066270745
35024454,2015,5.86961066270745
35009581,2013,5.8676911638046807
35009581,2015,5.8676911638046807
35925871,2013,5.86702918640958
35925871,2015,5.86702918640958
35910764,2013,5.86346646286568
35910764,2015,5.86346646286568
35912924,2013,5.8634370665958695
35912924,2015,5.8634370665958695
35034332,2015,5.8609174478840895
35034332,2013,5.8609174478840895
35032074,2015,5.86005080468522
35032074,2013,5.86005080468522
35028022,2019,5.86
35019689,2021,5.86
35016391,2021,5.86
35003694,2021,5.86
35018661,2021,5.86
35903760,2021,5.86
35462378,2021,5.86
35008285,2019,5.86
35022986,2019,5.86
35345600,2019,5.86
35438480,2015,5.8599893801347793
35438480,2013,5.8599893801347793
35439447,2013,5.85895907064795
35439447,2015,5.85895907064795
35922420,2015,5.8576324652010907
35922420,2013,5.8576324652010907
35907728,2015,5.85730029972404
35907728,2013,5.85730029972404
35016385,2015,5.85469243985925
35016385,2013,5.85469243985925
35436239,2013,5.85432801362803
35436239,2015,5.85432801362803
35024624,2013,5.85257375798915
35024624,2015,5.85257375798915
35020643,2019,5.8500000000000005
35920538,2019,5.8500000000000005
35446749,2019,5.8500000000000005
35013493,2019,5.8500000000000005
35046012,2019,5.8500000000000005
35012919,2019,5.8500000000000005
35016366,2021,5.85
35019835,2021,5.85
35002082,2021,5.85
35008618,2021,5.85
35017700,2021,5.85
35020643,2013,5.84751826601191
35020643,2015,5.84751826601191
35037148,2013,5.84505151288443
35037148,2015,5.84505151288443
35035497,2015,5.84443355197148
35035497,2013,5.84443355197148
35020771,2021,5.84
35009465,2019,5.84
35433858,2021,5.84
35025240,2019,5.84
35001636,2019,5.84
35033169,2021,5.84
35045470,2021,5.84
35042648,2021,5.84
35024624,2021,5.84
35045287,2021,5.84
35015192,2021,5.84
35907297,2021,5.84
35448060,2021,5.84
35019926,2021,5.84
35024454,2021,5.84
35022950,2021,5.84
35021180,2015,5.83974061741523
35021180,2013,5.83974061741523
35016354,2015,5.83936638727761
35016354,2013,5.83936638727761
35028599,2013,5.83933871426496
35028599,2015,5.83933871426496
35433861,2015,5.83893484753273
35433861,2013,5.83893484753273
35007717,2015,5.83848532438924
35007717,2013,5.83848532438924
35020096,2013,5.83661748402241
35020096,2015,5.83661748402241
35042894,2013,5.8362602138460193
35042894,2015,5.8362602138460193
35008655,2015,5.83507790840343
35008655,2013,5.83507790840343
35021817,2015,5.8338040903948505
35021817,2013,5.8338040903948505
35018454,2015,5.83348717438884
35018454,2013,5.83348717438884
35042006,2015,5.8318821208632006
35042006,2013,5.8318821208632006
35001946,2015,5.8310875572984795
35001946,2013,5.8310875572984795
35009465,2013,5.8302918023387
35009465,2015,5.8302918023387
35438261,2013,5.83000501553584
35438261,2015,5.83000501553584
35018867,2021,5.83
35002173,2021,5.83
35025598,2021,5.83
35022603,2021,5.83
35032074,2019,5.83
35031264,2019,5.83
35040769,2019,5.83
35018235,2021,5.83
35017012,2019,5.83
35019847,2019,5.83
35021131,2019,5.83
35017036,2021,5.83
35002159,2021,5.83
35028824,2021,5.83
35042420,2019,5.83
35016354,2021,5.83
35003967,2015,5.8285256642230205
35003967,2013,5.8285256642230205
35007572,2013,5.825249846639
35007572,2015,5.825249846639
35020710,2013,5.82498977658354
35020710,2015,5.82498977658354
35033704,2013,5.82466389312271
35033704,2015,5.82466389312271
35018582,2015,5.8227472997023
35018582,2013,5.8227472997023
35020862,2015,5.8209465720888
35020862,2013,5.8209465720888
35019835,2013,5.82035792583916
35019835,2015,5.82035792583916
35022779,2019,5.82
35018326,2021,5.82
35041646,2021,5.82
35028824,2019,5.82
35900400,2021,5.82
35014308,2019,5.82
35028927,2021,5.82
35002185,2019,5.82
35021891,2021,5.82
35019835,2019,5.82
