"","id_escola","ano","idesp"
"201",35000267,2012,1.94
"202",35000267,2013,1.81
"203",35000267,2014,2.14
"204",35000267,2015,2.49
"205",35000267,2016,2.13
"206",35000267,2017,2.75
"207",35000267,2018,2.97
"208",35000267,2019,2.32
"209",35000280,2007,1.47
"210",35000280,2008,1.4
"211",35000280,2009,1.82
"212",35000280,2010,1.6
"213",35000280,2011,1.72
"214",35000280,2012,1.83
"215",35000280,2013,1.56
"216",35000280,2014,1.61
"217",35000280,2015,1.6
"218",35000280,2016,1.96
"219",35000280,2017,1.49
"220",35000280,2018,1.62
"221",35000280,2019,1.81
"222",35000309,2007,1.63
"223",35000309,2008,1.22
"224",35000309,2009,2.21
"225",35000309,2010,1.69
"226",35000309,2011,1.94
"227",35000309,2012,1.86
"228",35000309,2013,1.95
"229",35000309,2014,1.77
"230",35000309,2015,1.71
"231",35000309,2016,2.07
"232",35000309,2017,2.18
"233",35000309,2018,2.41
"234",35000309,2019,2.34
"235",35000322,2007,1.48
"236",35000322,2008,1.55
"237",35000322,2009,1.81
"238",35000322,2010,2.18
"239",35000322,2011,1.85
"240",35000322,2012,2.13
"241",35000322,2013,1.46
"242",35000322,2014,2.02
"243",35000322,2015,NA
"244",35000322,2016,2.28
"245",35000322,2017,2.77
"246",35000322,2018,2.74
"247",35000322,2019,2.67
"248",35000334,2007,2.15
"249",35000334,2008,1.93
"250",35000334,2009,1.99
"251",35000334,2010,1.58
"252",35000334,2011,2.19
"253",35000334,2012,2.48
"254",35000334,2013,2.53
"255",35000334,2014,2.44
"256",35000334,2015,1.82
"257",35000334,2016,2.53
"258",35000334,2017,2.49
"259",35000334,2018,2.57
"260",35000334,2019,3.13
"261",35000371,2007,0.71
"262",35000371,2008,1.71
"263",35000371,2009,1.91
"264",35000371,2010,1.96
"265",35000371,2011,2.18
"266",35000371,2012,2.19
"267",35000371,2013,1.64
"268",35000371,2014,1.61
"269",35000371,2015,1.88
"270",35000371,2016,1.85
"271",35000371,2017,2.15
"272",35000371,2018,2.38
"273",35000371,2019,1.84
"274",35000383,2007,1.19
"275",35000383,2008,1.64
"276",35000383,2009,1.67
"277",35000383,2010,2.03
"278",35000383,2011,1.57
"279",35000383,2012,2.05
"280",35000383,2013,1.78
"281",35000383,2014,1.92
"282",35000383,2015,2.19
"283",35000383,2016,1.92
"284",35000383,2017,2.13
"285",35000383,2018,2.53
"286",35000383,2019,2.15
"287",35000395,2007,1.11
"288",35000395,2008,1.27
"289",35000395,2009,1.43
"290",35000395,2010,1.27
"291",35000395,2011,1.29
"292",35000395,2012,1.19
"293",35000395,2013,1.2
"294",35000395,2014,1.37
"295",35000395,2015,1.5
"296",35000395,2016,1.18
"297",35000395,2017,1.55
"298",35000395,2018,1.97
"299",35000395,2019,1.51
"300",35000401,2007,1.31
"301",35000401,2008,1.57
"302",35000401,2009,1.93
"303",35000401,2010,1.67
"304",35000401,2011,1.69
"305",35000401,2012,1.53
"306",35000401,2013,1.14
"307",35000401,2014,1.49
"308",35000401,2015,1.39
"309",35000401,2016,1.54
"310",35000401,2017,1.38
"311",35000401,2018,2.01
"312",35000401,2019,1.69
"313",35000413,2007,1.66
"314",35000413,2008,2.06
"315",35000413,2009,1.83
"316",35000413,2010,1.72
"317",35000413,2011,1.63
"318",35000413,2012,1.84
"319",35000413,2013,1.2
"320",35000413,2014,2.09
"321",35000413,2015,1.96
"322",35000413,2016,1.72
"323",35000413,2017,1.91
"324",35000413,2018,1.82
"325",35000413,2019,1.85
"326",35000450,2007,1.89
"327",35000450,2008,2.45
"328",35000450,2009,1.82
"329",35000450,2010,2.02
"330",35000450,2011,1.53
"331",35000450,2012,1.53
"332",35000450,2013,1.79
"333",35000450,2014,1.71
"334",35000450,2015,NA
"335",35000450,2016,2.29
"336",35000450,2017,1.91
"337",35000450,2018,1.62
"338",35000450,2019,2.09
"339",35000462,2007,1.21
"340",35000462,2008,1.35
"341",35000462,2009,1.77
"342",35000462,2010,1.29
"343",35000462,2011,1.63
"344",35000462,2012,1.58
"345",35000462,2013,1.43
"346",35000462,2014,0.86
"347",35000462,2015,1.59
"348",35000462,2016,1.8
"349",35000462,2017,1.83
"350",35000462,2018,2.08
"351",35000462,2019,1.34
"352",35000498,2007,1.08
"353",35000498,2008,1.63
"354",35000498,2009,1.9
"355",35000498,2010,1.1
"356",35000498,2011,0.85
"357",35000498,2012,1.02
"358",35000498,2013,1.18
"359",35000498,2014,1.22
"360",35000498,2015,1.79
"361",35000498,2016,1.63
"362",35000498,2017,1.37
"363",35000498,2018,1.8
"364",35000498,2019,1.96
"365",35000528,2007,1.07
"366",35000528,2008,0.89
"367",35000528,2009,1.19
"368",35000528,2010,1.79
"369",35000528,2011,1.81
"370",35000528,2012,2.13
"371",35000528,2013,1.61
"372",35000528,2014,1.75
"373",35000528,2015,1.97
"374",35000528,2016,2.08
"375",35000528,2017,1.31
"376",35000528,2018,2.29
"377",35000528,2019,1.99
"378",35000536,2007,1.31
"379",35000536,2008,1.68
"380",35000536,2009,1.81
"381",35000536,2010,1.8
"382",35000536,2011,1.77
"383",35000536,2012,1.76
"384",35000536,2013,1.86
"385",35000536,2014,2.02
"386",35000536,2015,2.45
"387",35000536,2016,2.02
"388",35000536,2017,1.47
"389",35000536,2018,1.88
"390",35000536,2019,1.82
"391",35000553,2007,2.31
"392",35000553,2008,2.04
"393",35000553,2009,2.78
"394",35000553,2010,2.43
"395",35000553,2011,2.06
"396",35000553,2012,2.1
"397",35000553,2013,1.2
"398",35000553,2014,1.58
"399",35000553,2015,1.15
"400",35000553,2016,1.6
"401",35000553,2017,2.51
"402",35000553,2018,2.86
"403",35000553,2019,2.49
"404",35000577,2007,1.64
"405",35000577,2008,0.75
"406",35000577,2009,0.98
"407",35000577,2010,1.17
"408",35000577,2011,1.79
"409",35000577,2012,1.62
"410",35000577,2013,1.21
"411",35000577,2014,1.01
"412",35000577,2015,2.06
"413",35000577,2016,2.02
"414",35000577,2017,3.21
"415",35000577,2018,2.5
"416",35000577,2019,NA
"417",35000589,2007,0.71
"418",35000589,2008,1.41
"419",35000589,2009,1.94
"420",35000589,2010,1.22
"421",35000589,2011,1.01
"422",35000589,2012,1.03
"423",35000589,2013,1.08
"424",35000589,2014,1.36
"425",35000589,2015,NA
"426",35000589,2016,2.14
"427",35000589,2017,3.66
"428",35000589,2018,3.38
"429",35000589,2019,2.67
"430",35000607,2007,1.29
"431",35000607,2008,1.57
"432",35000607,2009,1.58
"433",35000607,2010,1.8
"434",35000607,2011,1.59
"435",35000607,2012,1.78
"436",35000607,2013,1.46
"437",35000607,2014,1.47
"438",35000607,2015,2.14
"439",35000607,2016,1.54
"440",35000607,2017,1.71
"441",35000607,2018,2.14
"442",35000607,2019,1.66
"443",35000620,2007,1.96
"444",35000620,2008,1.78
"445",35000620,2009,2.01
"446",35000620,2010,1.67
"447",35000620,2011,2.03
"448",35000620,2012,1.67
"449",35000620,2013,1.55
"450",35000620,2014,2.08
"451",35000620,2015,NA
"452",35000620,2016,2.39
"453",35000620,2017,2.65
"454",35000620,2018,2.5
"455",35000620,2019,2.43
"456",35000668,2007,2.39
"457",35000668,2008,2.86
"458",35000668,2009,2.51
"459",35000668,2010,2.27
"460",35000668,2011,1.93
"461",35000668,2012,1.83
"462",35000668,2013,2.79
"463",35000668,2014,2.8
"464",35000668,2015,2.87
"465",35000668,2016,2.8
"466",35000668,2017,2.79
"467",35000668,2018,2.89
"468",35000668,2019,3.29
"469",35000673,2007,1.01
"470",35000673,2008,1.48
"471",35000673,2009,1.74
"472",35000673,2010,1.54
"473",35000673,2011,1.4
"474",35000673,2012,1.39
"475",35000673,2013,1.39
"476",35000673,2014,1.5
"477",35000673,2015,2.09
"478",35000673,2016,1.81
"479",35000673,2017,2.13
"480",35000673,2018,2.38
"481",35000673,2019,1.58
"482",35000693,2007,0.82
"483",35000693,2008,0.97
"484",35000693,2009,1.1
"485",35000693,2010,1.38
"486",35000693,2011,1.2
"487",35000693,2012,1.51
"488",35000693,2013,0.84
"489",35000693,2014,1.17
"490",35000693,2015,1.77
"491",35000693,2016,1.76
"492",35000693,2017,1.66
"493",35000693,2018,2.11
"494",35000693,2019,1.8
"495",35000711,2007,1.17
"496",35000711,2008,1.63
"497",35000711,2009,2.12
"498",35000711,2010,1.79
"499",35000711,2011,1.83
"500",35000711,2012,1.94
"501",35000711,2013,1.57
"502",35000711,2014,2.43
"503",35000711,2015,2.35
"504",35000711,2016,2.89
"505",35000711,2017,2.66
"506",35000711,2018,3.03
"507",35000711,2019,2.87
"508",35000723,2007,1.41
"509",35000723,2008,1.96
"510",35000723,2009,2.2
"511",35000723,2010,1.81
"512",35000723,2011,1.86
"513",35000723,2012,1.46
"514",35000723,2013,1.81
"515",35000723,2014,1.39
"516",35000723,2015,1.29
"517",35000723,2016,2.05
"518",35000723,2017,2.37
"519",35000723,2018,3.1
"520",35000723,2019,2.83
"521",35000735,2007,1.78
"522",35000735,2008,2.2
"523",35000735,2009,2.06
"524",35000735,2010,2.57
"525",35000735,2011,2.05
"526",35000735,2012,2.17
"527",35000735,2013,1.27
"528",35000735,2014,1.77
"529",35000735,2015,1.68
"530",35000735,2016,2.68
"531",35000735,2017,2.07
"532",35000735,2018,2.24
"533",35000735,2019,2.22
"534",35000747,2007,1.27
"535",35000747,2008,1.38
"536",35000747,2009,1.07
"537",35000747,2010,1.21
